********************************************************************************
*                             Initializing Cubiquity                           *
********************************************************************************
[20:47:56, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:15, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[20:49:15, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[20:49:15, Info   ]: Resizing compressed data buffer to 144307bytes. This should only happen once
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
[20:49:16, Info   ]: Creating voxel database from 'E:/_Users/buram_000/Desktop/GAME_SECOND/tkTools/Assets/StreamingAssets/Cubiquity/VoxelDatabases/Examples/Tests/MengerSponge.vdb'
